======================================================================
Experiment 3 (DT near-field): FULL TRAINING FROM SCRATCH
======================================================================
Run Phase 1: Adam
LBFGS Iter  1000: Loss = 0.00036979 Test Loss = 0.00059736 (Interior = 0.00000597, BC_x = 0.00000000, BC_y = 0.00000000)

Final Test Losses:
Total = 0.00059489, Interior = 0.00000595, BC_x = 0.00000000, BC_y = 0.00000000
Saved model -> reproduced_models/DT_flat-top-nearfield_model.pth
Saved results/exp3_dt_nearfield_phase.png
Saved results/exp3_dt_nearfield_propagation.png

[Exp3 metrics, y=0 cross-section]
  LS rescale factor: 1.0142
  RMS error: 4.104349e-03
  Relative RMS: 5.375%
